编号,标题,作者列表,单位,摘要,原文PDF
11,EfficientUICoder: A Bidirectional Token Compression Framework for Efficient MLLM-based UI Code Generation,"Jingyu Xiao, Zhongyi Zhang, Yuxuan Wan, Yintong Huo, Yang Liu, Michael Lyu","Jingyu Xiao (The Chinese University of Hong Kong, Hong Kong SAR China); Zhongyi Zhang (Huazhong University of Science and Technology, China, China); Yuxuan Wan (The Chinese University of Hong Kong); Yintong Huo (Singapore Management University, Singapore, Singapore); Yang Liu (Nanyang Technological University, Singapore); Michael Lyu (The Chinese University of Hong Kong)","Multimodal Large Language Models (MLLMs) have demonstrated exceptional performance in UI2Code tasks (i.e., generating code from UI mockups), significantly enhancing website development efficiency. However, UI2Code tasks incur substantially higher computational overhead compared to traditional code generation tasks. This overhead is primarily driven by the large number of input image tokens required to represent complex visual designs and the extensive volume of output code tokens needed to describe complete webpage structures. In this paper, we conduct a comprehensive preliminary study on popular MLLMs for UI2Code tasks, identifying significant redundancies in both image and code tokens. We observe that these redundancies not only exacerbate computational complexity but also hinder the model’s ability to focus on key UI elements, leading to excessively lengthy and often invalid HTML files. To address these challenges, we propose EfficientUICoder, a bidirectional compression framework designed for efficient UI code generation. First, we introduce an Element and Layout-aware Token Compression method, which preserves essential UI element and layout information by detecting element regions and constructing a UI element tree for efficient representation. Second, we design a Region-aware Token Refinement strategy that refines selected tokens by leveraging attention scores to evaluate semantic importance, discarding lowattention tokens from selected region while integrating high-attention tokens from unselected regions. Third, we develop an Adaptive Duplicate Token Suppression mechanism, which dynamically modulates token probabilities during decoding by tracking HTML/CSS code structure frequencies and applying exponential penalty strategies to minimize repetitive generation. Extensive experiments demonstrate that EfficientUICoder achieves a 55%-60% compression ratio without compromising the quality of the generated webpages, effectively reducing output code redundancy. In terms of efficiency, EfficientUICoder achieves superior improvements, reducing computational cost by up to 44.9%, generated tokens by up to 41.4%, prefill time by up to 46.6%, and inference time by up to 48.8% on 34B-level MLLMs.",pdfs/11_Jingyu Xiao_EfficientUICoder A Bidirectional Token Compression Framework for Efficient MLLM-.pdf
12,Eidolon: Perform Noise-Aware Fuzzing on FHE Libraries via Equivalence Expression Transformation,"Zhensheng Xian, Zhen Yan, Yuanliang Chen, Xuelian Cao, Fuchen Ma, Dalong Shi, Yu Jiang","Zhensheng Xian (Tsinghua University); Zhen Yan (Tsinghua University); Yuanliang Chen (Tsinghua University); Xuelian Cao (Tsinghua University); Fuchen Ma (Tsinghua University, China); Dalong Shi (AVIC International Digital Network Technology Co., Ltd.); Yu Jiang (Tsinghua University, China)","Ensuring data privacy during computation is a critical challenge in many security systems. Fully Homomorphic Encryption (FHE) addresses this gap by enabling multiple operations on encrypted data without decryption, thus ensuring privacy is preserved throughout computation. However, existing cryptographic testing tools are unable to test the core functionality of FHE, which is the execution of computations on encrypted data. They are expertly designed to generate structured data for testing cryptographic algorithms. This structural mismatch, combined with a lack of awareness of FHE-specific noise management, leads them to generate invalid test inputs that fail to probe FHE libraries’ core logic. To address this gap, we propose Eidolon, a noise-aware fuzzer. It directs mutations toward arithmetic expressions that explore the computational space defined by the noise budget. As its test oracle, Eidolon leverages Equivalence Expressions Transformation, which transforms a standard arithmetic expression into two mathematically identical but structurally different forms (e.g., Factored, Horner) to detect inconsistencies in their outputs. We evaluated Eidolon on SEAL, OpenFHE, HELib, and TFHE. Compared with existing cryptographic fuzzers, Eidolon achieves 39.2%, 61.0%, and 99.0% higher final code coverage than CLFuzz, Cryptofuzz, and CDF, respectively. In total, Eidolon uncovered 20 previously unknown bugs, 10 of which have been fixed and 12 assigned CVEs.",pdfs/12_Zhensheng Xian_Eidolon Perform Noise-Aware Fuzzing on FHE Libraries via Equivalence Expression .pdf
13,Empirical Insights of Test Selection Metrics under Multiple Testing Objectives and Distribution Shifts,"Jingyu Zhang, Fan Wang, Jacky Keung, Yihan Liao, Yan Xiao, Lei Ma","Jingyu ZHANG (Hong Kong Metropolitan University, Hong Kong SAR China); Fan Wang (City University of Hong Kong); Jacky Keung (City University of Hong Kong, Hong Kong SAR China); Yihan Liao (City University of Hong Kong); Yan Xiao (Sun Yat-sen University, China); Lei Ma (The University of Tokyo & University of Alberta, Japan)","Deep learning (DL)-based systems can exhibit unexpected behavior when exposed to out-of-distribution (OOD) scenarios, posing serious risks in safety-critical domains such as malware detection and autonomous driving. This underscores the importance of thoroughly testing such systems before deployment. To this end, researchers have proposed a wide range of test selection metrics designed to effectively select inputs. However, prior evaluations of metrics reveal three key limitations: (1) narrow testing objectives, for example, many studies assess metrics only for fault detection, leaving their effectiveness for performance estimation unclear; (2) limited coverage of OOD scenarios, with natural and label shifts are rarely considered; (3) Biased dataset selection, where most work focuses on image data while other modalities remain underexplored. Consequently, a unified benchmark that examines how these metrics perform under multiple testing objectives, diverse OOD scenarios, and different data modalities is still lacking. This leaves practitioners uncertain about which test selection metrics are most suitable for their specific objectives and contexts. To address this gap, we conduct an extensive empirical study of 15 existing metrics, evaluating them under three testing objectives (fault detection, performance estimation, and retraining guidance), five types of OOD scenarios (corrupted, adversarial, temporal, natural, and label shifts), three data modalities (image, text, and Android packages), and 13 DL models. In total, our study encompasses 1,640 experimental scenarios, offering a comprehensive evaluation and statistical analysis.",pdfs/13_Jingyu Zhang_Empirical Insights of Test Selection Metrics under Multiple Testing Objectives a.pdf
14,Empowering Autonomous Debugging Agents with Efficient Dynamic Analysis,"Jiahong Xiang, Xiaoyang Xu, Xiaopan Chu, Hongliang Tian, Yuqun Zhang","Jiahong Xiang (Southern University of Science and Technology); Xiaoyang Xu (Southern University of Science and Technology); Xiaopan Chu (Southern University of Science and Technology); Hongliang Tian (Ant Group); Yuqun Zhang (Southern University of Science and Technology, China)","Autonomous agents for automated program repair represent a promising frontier in software engineering, yet their effectiveness is often hindered by reliance on post-mortem, coarse-grained execution feedback. While integrating traditional interactive debuggers seems a natural solution, their low-level, line-by-line interaction paradigm turns to be cost-inefficient for LLM-based agents, leading to exhausted budgets and unproductive loops. To mitigate this, we introduce Agent-centric Debugging Interface (ADI), a novel agent-centric debugging interface designed for cost-efficient, end-to-end autonomous interaction. Specifically, Agent-centric Debugging Interface realizes a function-level interaction paradigm, powered by our Frame Lifetime Trace—a comprehensive data structure encapsulating a function’s stateful execution trace—and a set of high-level navigational commands. Our extensive evaluation on the SWE-bench benchmark demonstrates the effectiveness and efficiency of ADI. By simply equipping a basic agent with ADI, it successfully resolves 63.8% of the tasks on the SWE-bench Verified set, even slightly outperforming the highly-optimized and high-investment Claude-Tools agent, at an average cost of $1.28 per task with Claude-Sonnet-3.7. Furthermore, we demonstrate ADI’s generality by integrating it as a plug-and-play component into the existing SOTA agents, delivering consistent gains ranging from 6.2% to 18.5% on the resolved tasks. These results indicate that Agent-centric Debugging Interface could achieve a general and efficient enhancement for the existing autonomous agents.",pdfs/14_Jiahong Xiang_Empowering Autonomous Debugging Agents with Efficient Dynamic Analysis.pdf
15,Evaluating LLM-based Regression Test Generation,"Jing Liu, Seongmin Lee, Eleonora Losiouk, Marcel Böhme","Jing Liu (Max Planck Institute for Security and Privacy); Seongmin Lee (UCLA, United States); Eleonora Losiouk (University of Padua); Marcel Böhme (MPI for Security and Privacy, Germany)","Large Language Models (LLMs) have shown tremendous promise in automated software engineering. In this paper, we investigate the opportunities of LLMs for just-in-time regression test generation for programs, like parsers, interpreters, or compilers, that take highly structured, human-readable inputs. When a new bug fix or code change is committed, the repository (as part of the CI/CD workflow) runs an LLM for a few minutes to generate regression test cases for that commit that exercise the changed code and potentially trigger any bugs. Specifically, we investigate LLM-based regression test generation as a \emph{machine translation task} that takes the developer-provided commit message, the code change, and the name of the input format (e.g., XML) and produces regression test cases for the described change in the given input format. In our experiments testing 46 commits to Mujs, Libxml2, Poppler, JerryScript, Z3, and PHP, our feedback-directed, zero-shot LLM-based prototype Cleverest performed unexpectedly well, even if we did \emph{not} provide the code change. In under 2 minutes, on average, Cleverest found more bugs than the state-of-the-art directed greybox fuzzer WAFLGo in 24 hours, even though WAFLGo started with a commit-reaching seed corpus in the majority of cases. If we amplify the Cleverest-generated test cases using those as a seed corpus in coverage-guided greybox fuzzing, the number of bugs found almost doubles. We call the integration with fuzzing as ClevFuzz. In addition, we found that some commit messages are more expressive than others, thus we wonder how this impacts the effectiveness of Cleverest. Our results above demonstrate that Cleverest picks up on the change intention. For instance, if the commit message describes that this patch changes how floating point variables are treated in the MuJS JavaScript interpreter, then Cleverest generates JavaScript programs that contain floating point variables. To study the impact of expressiveness, we change the commit messages minimally to reduce and increase the information in the commit message, respectively, and find a substantial impact on effectiveness. For instance, adding 18 words on average (max. 46) to make ineffective commit messages more expressive almost doubled the number of bugs found.",pdfs/15_Jing Liu_Evaluating LLM-based Regression Test Generation.pdf
16,Evaluating Risk and Confidence in Performance Bounds of Configuration Sampling Strategies,"Kallistos Weis, Martina Maggio, Norbert Siegmund, Sven Apel","Kallistos Weis (Saarland University); Martina Maggio (Saarland University, Germany / Lund University, Sweden, Germany); Norbert Siegmund (Leipzig University, Germany); Sven Apel (Saarland University, Germany)","Modern software usually exposes a large number of configuration options to the user, which gives rise to enormous configuration spaces in practice. Appropriate choices for these options dramatically influence the performance of the software (throughput, memory consumption, execution time, etc.). However, due to the sheer size of the configuration space, systematically identifying the best or worst-performing configurations is computationally infeasible through exhaustive exploration. Instead, practitioners rely on budgeted sampling strategies, such as uniform random sampling or statistical recursive search, to explore the configuration space under fixed measurement budgets in an attempt to find the best or worst configuration. A fundamental limitation of existing sampling strategies is the lack of quantifiable guarantees that the selected configuration truly reflects best-case (or worst-case) performance. In this paper, we define the basic concepts of \emph{posterior risk} and \emph{posterior confidence} and present a probabilistic framework to evaluate how well sampling strategies identify the best- or worst-performing configuration of a software system. We evaluate our framework by comparing five representative sampling strategies on seven real-world configurable software systems. Using our framework, we find that statistical recursive search yields consistently tighter best-case guarantees—higher posterior confidence and lower posterior risk—than the alternatives at the same budget. Our results demonstrate the potential of our framework as a principled basis for reporting, comparing, and refining sampling strategies, and as a tool for practitioners to select strategies and budgets with quantified guarantees across systems and sample sizes. Extended ablations—including additional sampling strategies and per-system breakdowns—are available in the supplementary material.",pdfs/16_Kallistos Weis_Evaluating Risk and Confidence in Performance Bounds of Configuration Sampling S.pdf
17,EventADL: Open-Box Anomaly Detection and Localization Framework for Events in Cloud-Based Service Systems,"Luan Pham, Victor Nicolet, Joey Dodds, Hui Guan, Daniel Kroening","Luan Pham (University of New South Wales, Australia, Australia); Victor Nicolet (Amazon, Canada); Joey Dodds (Amazon, Inc.); Hui Guan (Amazon Web Services, USA, United States); Daniel Kroening (Amazon, United States)","Anomaly detection and localization (ADL) is critical for maintaining high reliability and availability in cloud-based systems. Recent ADL developments focus on metric and log data, leaving event data relatively unexplored. To address this gap, we propose EventADL, the first open-box ADL framework for events in cloud-based service systems. To motivate the design of our framework, we conduct a systematic analysis on 520 real-world incidents, and provide several important insights into how anomalies and their root causes manifest through event data. The EventADL framework has three phases: offline training, online anomaly detection, and anomaly localization. During the training phase, EventADL learns Event Semantic Patterns (ESPs) for pointwise anomaly detection and Event Frequency Patterns (EFPs) for frequency-based anomaly detection using unlabelled historical data. In the online anomaly detection phase, any data in the event stream that deviates significantly from these patterns is identified as anomalous. In the localization phase, EventADL constructs an Intervention Graph that models the relationships between recent interventions (i.e., system changes visible through events) and the detected anomalies for automatic root cause localization. The framework is designed to operate efficiently without labeled data , and to produce interpretable results. Our evaluation on three real cloud-based service systems and two real-world incidents, compared against ten state-of-the-art baselines, demonstrates that EventADL outperforms existing methods, achieving F1-scores of at least 90% for anomaly detection and 100% top-3 accuracy in anomaly localization.",pdfs/17_Luan Pham_EventADL Open-Box Anomaly Detection and Localization Framework for Events in Clo.pdf（arXiv 预印本）
18,Event-B Agent: Towards LLM Agent for Formal Model Synthesis and Repair,"Hongshu Wang, Xinyue Zuo, Yuhan Sun, Qin Li, Yamine Ait Ameur, Jin Song Dong","Hongshu Wang (National University of Singapore); Xinyue Zuo (National University of Singapore, Singapore); Yuhan Sun (East China Normal University); Qin Li (Shanghai Key Laboratory of Trustworthy Computing, East China Normal University, China); Yamine AIT AMEUR (IRIT - National Polytechnic Institute of Toulouse); Jin Song Dong (National University of Singapore, Singapore)","Building software that is correct by construction is a long-standing goal in software engineering, as it ensures that reliability is achieved during design rather than after deployment. Formal methods realize this vision by allowing system behavior and requirements to be expressed in mathematics, enabling correctness to be guaranteed through proofs and verification. However, the steep learning curve and demand for mathematical expertise hinder its widespread adoption. Large language models (LLMs) have recently shown promise in bridging this gap through autoformalization, but existing approaches often address isolated tasks, such as theorem proving or model synthesis verified by model checking. While valuable, these single-perspective efforts do not fully exploit the potential of a more comprehensive framework where models and proofs evolve together. To address this gap, we propose \textbf{Event-B Agent}, a novel framework inspired by the interleaved nature of software design. From natural language requirements, Event-B Agent constructs an initial model and iteratively adjusts it using feedback from model checking and theorem proving. Adjusting and refining the model, in turn, simplifies proof discharge that ensures correctness with respect to requirements. Evaluation across systems of varying complexity shows that Event-B Agent substantially outperforms baselines in end-to-end model synthesis and repair. These results show a promising direction into achieving correctness-by-construction through probabilistic approaches like LLM agents.",pdfs/18_Hongshu Wang_Event-B Agent Towards LLM Agent for Formal Model Synthesis and Repair.pdf
19,Exorcist: Enabling Atomic-Level Runtime Detection of Spectre Attacks Using Precise Event Based Sampling,"Hao Jia, Haoyu Ma, Changfeng Ding, Jinku Li","Hao Jia (Xidian University); Haoyu Ma (Beijing Jiaotong University); Changfeng Ding (Xidian University); Jinku Li (Xidian University, China)","While being key hardware techniques for improving the performance of modern processors, the speculative execution mechanisms also lead to side-channel attacks, which pose significant threats to the security of computer systems. While researchers have proposed various solutions to mitigate the threat posed by speculative attacks, most existing approaches have focused on offline static vulnerability analysis, which suffers from significant limitations of incompleteness and poor scalability. Based on Intel’s Precise Event Based Sampling (PEBS) technique, this paper proposes Exorcist, a novel runtime framework for detecting Spectre-PHT attacks at the atomic level. Leveraging the key observation that the atomic execution of a Spectre-PHT gadget triggers both a cache miss and a branch mis-precision in a fixed sequence, Exorcist uses carefully configured PEBS monitoring to efficiently capture all related fine-grained hardware performance events, then launches a kernel- and user-level collaborated taint analysis to effectively pinpoint Spectre-PHT gadgets that have actually exploited vulnerable speculative executions. Our approach significantly reduces the amount of native instructions needed to be processed to confirm actual Spectre exploitation, making it capable of achieving high accuracy and a negligible false positive rate with second-level response time. We have implemented a prototype of Exorcist and performed a comprehensive evaluation on it. Experimental results indicate that Exorcist can efficiently detect Spectre-PHT attacks at runtime with acceptable performance overhead, including JIT-compiled Spectre-PHT payloads written in JavaScript that are beyond the reach of existing offline analysis-based approaches.",pdfs/19_Hao Jia_Exorcist Enabling Atomic-Level Runtime Detection of Spectre Attacks Using Precis.pdf
20,ExpeRepair: Dual-Memory Enhanced LLM-based Repository-Level Program Repair,"Fangwen Mu, Junjie Wang, Lin Shi, Song Wang, Shoubin Li, Qing Wang","Fangwen Mu (Institute of Software, Chinese Academy of Sciences); Junjie Wang (Institute of Software at Chinese Academy of Sciences, China); Lin Shi (Beihang University); Song Wang (York University, Canada); Shoubin Li (Institute of Software at Chinese Academy of Sciences, China); Qing Wang (Institute of Software at Chinese Academy of Sciences, China)","Automatically repairing software issues remains a fundamental challenge at the intersection of software engineering and AI. Although recent advancements in Large Language Models (LLMs) have demonstrated potential for repository-level repair tasks, current methodologies exhibit two notable limitations: (1) they often address issues in isolation, neglecting to incorporate insights from previously resolved issues, and (2) they rely on static, rigid prompting strategies that constrain their ability to generalize across diverse and evolving issue scenarios. We propose ExpeRepair, a novel LLM-based program repair framework inspired by the dual memory systems of human cognition, where episodic and semantic memory synergistically support learning and decision-making. Unlike existing methods, ExpeRepair continuously learns from historical repair experiences via dual-channel knowledge accumulation, enabling it to adaptively reuse past knowledge during inference. Specifically, ExpeRepair organizes prior repair knowledge into two complementary memories: an episodic memory that stores concrete repair demonstrations, and a semantic memory that encodes abstract, reflective insights. At inference time, ExpeRepair activates both memory systems by retrieving relevant demonstrations from episodic memory and recalling high-level repair insights from semantic memory. It further enhances adaptability through dynamic prompt composition, synergistically integrating both memory types to replace static prompts with context-aware, experience-driven prompts. We evaluate ExpeRepair on two benchmarks: SWE-Bench Lite and SWE-Bench Verified. Experimental results show that ExpeRepair achieves Pass@1 scores of 60.3% and 74.6% on the two benchmarks, respectively, establishing new state-of-the-art performance among open-source methods. We have open-sourced ExpeRepair at https://github.com/ExpeRepair/ExpeRepair.",pdfs/20_Fangwen Mu_ExpeRepair Dual-Memory Enhanced LLM-based Repository-Level Program Repair.pdf（arXiv 预印本）
21,Failing with Purpose: Dangling Coverage-Guided Negative Test Generation from a Mechanized P4 Type System,"Jaehyun Lee, Seokhun Jeong, Sukyoung Ryu","Jaehyun Lee (KAIST, South Korea); Seokhun Jeong (KAIST, South Korea); Sukyoung Ryu (KAIST, South Korea)","A type checker must reject ill-typed programs in addition to accepting well-typed programs. Negative type checker tests, programs expected to be rejected, validate that a type checker enforces the language’s typing rules as intended. We focus on negative type checker tests for P4, a domain-specific language for programmable network devices, whose type system encodes design principles and hardware constraints of the network dataplane. Failing to reject an ill-typed P4 program risks violating these principles and constraints, leading to unexpected errors. A comprehensive negative test suite covering subtle and diverse ill-typed conditions is thus important. However, constructing comprehensive negative tests is challenging: the negative input space lacks systematic characterization, and existing P4 program generators do not target subtle type errors. This paper addresses the problem in three steps. (i) We mechanize the P4 type system using the SpecTec framework. Unlike the informal official P4 specification, the mechanized type system is formal and machine-readable. Mechanization enables a systematic analysis of the type system. (ii) Across the mechanized type system, we identify dangling premises, which are premises in the typing rules that, when violated, cause type errors. Based on them, we propose dangling coverage, a novel metric for quantifying negative test coverage. (iii) Finally, we implement a coverage-guided fuzzer that mutates well-typed P4 programs into ill-typed programs that increase dangling coverage. Our method identifies 939 dangling premises that characterize distinct ill-typed conditions in the P4 type system. The fuzzer generates a negative test suite achieving 33.02%p higher dangling coverage than the existing P4C reference compiler’s test suite. The generated tests also reveal 29 previously unknown bugs in the compiler frontend, demonstrating the effectiveness of both the coverage metric and the fuzzer. The tests generated by our fuzzer are now integrated into the P4C test suite.",pdfs/21_Jaehyun Lee_Failing with Purpose Dangling Coverage-Guided Negative Test Generation from a Me.pdf
22,Failure-Based Testing for Deep Reinforcement Learning Agents,"Weibin Lin, Jiangtao Meng, Zheng Zheng","Weibin Lin; Jiangtao Meng (Beihang University); Zheng Zheng (Beihang University, China)","Deep Reinforcement Learning (DRL) agents have been widely adopted across diverse domains to address challenging decision-making problems, such as autonomous driving and robotic control. Given that many of these applications are safety- and security-critical, rigorous testing of DRL agents is indispensable. Existing testing methods are typically guided by reward signals to detect failures. However, for well-trained agents, whose performance approaches optimal levels in standard operating conditions, reward signals remain generally high, making current methods ineffective at uncovering critical failures. To address the challenges, we propose a novel failure-based method that leverages task-induced failure insights to improve the efficiency of DRL agent testing. Since DRL agents are inherently designed with human-defined tasks, they provide valuable cues about task difficulty. By intuition, a DRL agent is more likely to fail when confronted with a more difficult task, so we prioritize testing the most difficult task. Building on this foundation, we propose Prior Random Testing, a black-box failure-based testing method that enables targeted prioritization while preserving the diversity of generated test cases. Guided by task-induced failure insights, PRT prioritizes failure-prone regions of the input domain, thereby facilitating efficient failure detection. PRT is evaluated on three widely used benchmarks and compared with different state-of-the-art methods including fuzzing, search-based and generative-based methods. PRT ranks among the top performers in terms of both the cost for finding the first failure and the diversity of test cases.",pdfs/22_Weibin Lin_Failure-Based Testing for Deep Reinforcement Learning Agents.pdf
23,Fairness Testing of Large Language Models in Role-Playing,"Xinyue Li, Zhenpeng Chen, Jie M. Zhang, Ying Xiao, Li Tianlin, Weisong Sun, Yang Liu, Yiling Lou, Xuanzhe Liu","Xinyue Li (Peking University); Zhenpeng Chen (Tsinghua University, China); Jie M. Zhang (Mistral AI and King's College London, United Kingdom); Ying Xiao; Li Tianlin; Weisong Sun (Nanyang Technological University, Singapore); Yang Liu (Nanyang Technological University, Singapore); Yiling Lou (University of Illinois at Urbana-Champaign, United States); Xuanzhe Liu (Peking University, China)","Large Language Models (LLMs) have become foundational in modern language-driven software applications, profoundly influencing daily life. A critical technique in leveraging their potential is role-playing, where LLMs simulate diverse roles to enhance their real-world utility. However, while research has highlighted the presence of social biases in LLM outputs, it remains unclear whether and to what extent these biases emerge during role-playing scenarios. In this paper, we conduct an empirical study on fairness testing of LLMs in role-playing scenarios. To enable this testing, we use LLMs to generate 550 social roles spanning a comprehensive set of 11 demographic attributes, producing 33,000 role-specific questions that target various forms of bias. These questions, covering Yes/No, multiple-choice, and open-ended formats, are designed to prompt LLMs to adopt specific roles and respond accordingly. We employ a combination of rule-based and LLM-based strategies to identify biased responses, rigorously validated through human evaluation. Using the generated questions as the test cases, we conduct extensive evaluations of 10 advanced LLMs. The evaluation reveal 107,580 biased responses across the studied LLMs, with individual models yielding between 7,579 and 16,963 biased responses, underscoring the prevalence of bias in role-playing contexts. To support future research, we have publicly released the dataset, along with all scripts and experimental results.",pdfs/23_Xinyue Li_Fairness Testing of Large Language Models in Role-Playing.pdf
24,Feature Slice Matching for Precise Bug Detection,"Ke Ma, Jianjun Huang, Wei You, Bin Liang, Jingzheng Wu, Yanjun Wu, Yuanjun Gong","Ke Ma (Renmin University of China); Jianjun Huang (Renmin University of China); Wei You (Renmin University of China, China); Bin Liang (Renmin University of China, China); Jingzheng Wu (Institute of Software, The Chinese Academy of Sciences); Yanjun Wu (Institute of Software, Chinese Academy of Sciences); Yuanjun Gong (University of Trento, Italy)","Measuring the function similarity to detect bugs is effective, but the statements unrelated to the bugs can impede the performance due to the noise interference. Suppressing the noise interference in existing works does not manage the tough job, i.e., eliminating the noise in the targets. In this paper, we propose MATUS to mitigate the target noise for precise bug detection based on similarity measurement. Feature slices are extracted from both the buggy query and the targets to represent the semantic feature of (potential) bug logics. In particular, MATUS guides the target slicing with the prior knowledge from the buggy code, in an end-to-end way to pinpoint the slicing criterion in the targets. All feature slices are embedded and compared based on the vector similarity. Buggy candidates are audited to confirm unknown bugs in the targets. Experiments show that MATUS holds advantages in bug detection for real-world projects with acceptable efficiency. In total, MATUS has spotted 31 unknown bugs in the Linux kernel. All of them have been confirmed by the kernel developers, and 11 have been assigned CVEs.",pdfs/24_Ke Ma_Feature Slice Matching for Precise Bug Detection.pdf
25,Flash: Query-Efficient Black-Box Static Malware Evasion through Transferable GAN-Guided Modification Sequences,"Anyuan Sang, Li Yang, Lu Zhou, Junbo Jia, Huipeng Yang","Anyuan Sang (Xidian University, China); Li Yang (Xidian University); Lu Zhou (Xidian University); Junbo Jia (Xidian University); Huipeng Yang (Xidian University)","Machine learning (ML)–based static malware detectors are widely deployed for Portable Executable (PE) files due to their scalability and efficiency, yet they remain vulnerable to carefully crafted adversarial perturbations. Existing black-box evasion methods either rely on transfer attacks, which break down when surrogate and target decision boundaries diverge, or on query-driven searches, which require impractically many queries. We present Flash, a two-phase adversarial framework tailored for static PE malware detection that integrates the strengths of both approaches. In the first phase, a generative adversarial network is trained against heterogeneous surrogate detectors to generate function-preserving PE modifications with inherent evasiveness. In the second phase, an evolutionary optimizer refines these sequences directly against the target model with a dual-objective fitness that balances evasion success and minimal perturbation cost. Experiments on 12,039 VirusShare PE files and six state-of-the-art static detectors demonstrate that Flash reduces query counts by 86% while maintaining bypass rates above 95.8%. Furthermore, adversarial training with Flash-generated samples reduces attack success rates by 82.4%, highlighting Flash’s utility for both exposing vulnerabilities and strengthening the robustness of static PE malware detectors.",pdfs/25_Anyuan Sang_Flash Query-Efficient Black-Box Static Malware Evasion through Transferable GAN-.pdf
26,Fool Me If You Can: On the Robustness of Binary Code Similarity Detection Models against Semantics-preserving Transformations,"Jiyong Uhm, Minseok Kim, Michalis Polychronakis, Hyungjoon Koo","Jiyong Uhm (Sungkyunkwan University); Minseok Kim (Sungkyunkwan University, South Korea); Michalis Polychronakis (Stony Brook University, United States); Hyungjoon Koo (Sungkyunkwan University)","Binary analysis plays an essential role in cybersecurity, facilitating reverse engineering to reveal the inner workings of programs in the absence of source code. Traditional approaches, such as static and dynamic analysis, extract valuable insights from stripped binaries, but often demand substantial expertise and manual effort. Recent advances in deep learning have opened promising opportunities to enhance binary analysis by capturing latent features and disclosing underlying code semantics. Despite the growing number of binary analysis models based on machine learning, their robustness to adversarial code transformations remains underexplored. In this work, we evaluate the robustness of deep learning models for the task of binary code similarity detection (BCSD) under semantics-preserving transformations. The unique nature of machine instructions presents distinct challenges compared to the typical input perturbations found in other domains. To achieve our goal, we introduce asmFooler, a system that evaluates the resilience of BCSD models using a diverse set of adversarial code transformations that preserve functional semantics. We construct a dataset of 9,565 binary variants from 620 baseline samples by applying eight semantics-preserving transformations across six representative BCSD models. Our major findings highlight several key insights: i) model robustness highly relies on the design of the processing pipeline, including code pre-processing, model architecture, and internal feature selection, which collectively determine how code semantics are captured; ii) the effectiveness of adversarial transformations is bounded by a transformation budget, shaped by model-specific constraints such as input size limits and the expressive capacity of semantically equivalent instructions; iii) well-crafted adversarial transformations can be highly effective, even when introducing minimal perturbations; and iv) such transformations disrupt the model’s ability to recognize and focus on semantically significant instructions.",pdfs/26_Jiyong Uhm_Fool Me If You Can On the Robustness of Binary Code Similarity Detection Models .pdf
27,From Particles to Perils: SVGD-Based Hazardous Scenario Generation for Autonomous Driving Systems Testing,"Linfeng Liang, Xiao Cheng, Tsong Yueh Chen, Xi Zheng","Linfeng Liang (Macquarie University); Xiao Cheng (Macquarie University, Australia); Tsong Yueh Chen (Swinburne University of Technology, Australia); Xi Zheng (Macquarie University, Australia)","Simulation-based testing of autonomous driving systems (ADS) must reveal realistic, diverse failures that arise from dense traffic and complex interactions among heterogeneous dynamic obejcts (vehicles, cyclists, and pedestrians). The effectiveness of ADS testing is highly sensitive to the choice of initial conditions (seeds). However, existing search-based seeding approaches (e.g., genetic algorithms) struggle in the high-dimensional spaces induced by dense and heterogeneous traffic, collapsing into a limited set of modes and leaving many realistic failure scenarios undiscovered. We present PtoP, a novel framework for testing autonomous driving systems. At its core, PtoP couples adaptive random seed generation—which produces seeds that hit diverse initial failure modes—with Stein Variational Gradient Descent (SVGD) to explore diverse, failure-inducing initial conditions. Each particle represents the initial state of a dynamic object. SVGD jointly leverages gradient-driven attraction toward high-hazard regions and kernel-mediated repulsion to maintain diversity among particles, producing risk-seeking yet well-distributed seeds that span multiple distinct failure modes. Beyond seed generation, PtoP serves as a plug-and-play framework that integrates seamlessly with online testing techniques (e.g., reinforcement learning–based testers) and, by providing principled seeds, boosts their overall testing effectiveness. We evaluate PtoP in CARLA—a state-of-the-art simulator—on two autonomous driving systems: an industry-grade stack (Apollo) and an end-to-end ADS native to CARLA. When combined with state-of-the-art baselines, PtoP substantially increases the safety-violation rate (by up to 27.68%), scenario diversity (by up to 9.6%), and map coverage (by up to 16.78%) over the baselines. Our framework and all associated data are available at https://anonymous.4open.science/r/PtoP-75B3.",pdfs/27_Linfeng Liang_From Particles to Perils SVGD-Based Hazardous Scenario Generation for Autonomous.pdf
